name,year,latitude,longitude,city,region,zipCode,cuisine,price,url,stars,price_level,price_numeric,years_since_award,decade,hemisphere,continent,has_url,name_length,name_word_count,distance_to_ny,city_restaurant_density,climate_zone,coastal_proximity
Addison,2019,32.939903,-117.20013,San Diego,California,92130,Modern,$$$$,https://guide.michelin.com/us/en/california/us-san-diego/restaurant/addison,1,Very Expensive,4,6,2010,Northern,Americas,True,7,1,3899.6814238409474,1,Subtropical,Inland
Parachute,2019,41.94483,-87.70638,Chicago,Chicago,60618,Fusion,$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/parachute,1,Moderate,2,6,2010,Northern,Americas,True,9,1,1150.8969205163387,22,Temperate,Inland
Goosefoot,2019,41.96856,-87.69596,Chicago,Chicago,60625,Modern,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/goosefoot,1,Very Expensive,4,6,2010,Northern,Americas,True,9,1,1150.1432553574646,22,Temperate,Inland
Elizabeth,2019,41.969555,-87.688736,Chicago,Chicago,60625,Modern,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/elizabeth,1,Very Expensive,4,6,2010,Northern,Americas,True,9,1,1149.5511854809743,22,Temperate,Inland
EL Ideas,2019,41.863,-87.68686,Chicago,Chicago,60618,Modern,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/el-ideas,1,Very Expensive,4,6,2010,Northern,Americas,True,8,2,1148.957924704535,22,Temperate,Inland
Band of Bohemia,2019,41.967308,-87.67477,Chicago,Chicago,60640,Gastropub,$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/band-of-bohemia,1,Expensive,3,6,2010,Northern,Americas,True,15,3,1148.3870622017944,22,Temperate,Inland
Schwa,2019,41.90888,-87.66792,Chicago,Chicago,60662,Modern,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/schwa,1,Very Expensive,4,6,2010,Northern,Americas,True,5,1,1147.5655680924335,22,Temperate,Inland
Temporis,2019,41.898907,-87.66725,Chicago,Chicago,Unknown,Modern,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/temporis,1,Very Expensive,4,6,2010,Northern,Americas,True,8,1,1147.4701414739195,22,Temperate,Inland
Entente,2019,41.93721,-87.6652,Chicago,Chicago,60657,Modern,$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/entente,1,Expensive,3,6,2010,Northern,Americas,True,7,1,1147.4601829901444,22,Temperate,Inland
Elske,2019,41.884426,-87.66071,Chicago,Chicago,60607,Modern,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/elske,1,Very Expensive,4,6,2010,Northern,Americas,True,5,1,1146.8728284605368,22,Temperate,Inland
Dusek's (Board & Beer),2019,41.857853,-87.65757,Chicago,Chicago,60608,Gastropub,$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/dusek-s-board-beer,1,Moderate,2,6,2010,Northern,Americas,True,22,4,1146.5152739253565,22,Temperate,Inland
Roister,2019,41.886658,-87.65187,Chicago,Chicago,60607,Modern,$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/roister,1,Expensive,3,6,2010,Northern,Americas,True,7,1,1146.1500261996105,22,Temperate,Inland
Boka,2019,41.91363,-87.64806,Chicago,Chicago,60614,Modern,$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/boka,1,Expensive,3,6,2010,Northern,Americas,True,4,1,1145.9427950660424,22,Temperate,Inland
Blackbird,2019,41.88423,-87.64356,Chicago,Chicago,60661,Modern,$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/blackbird,1,Expensive,3,6,2010,Northern,Americas,True,9,1,1145.4531745824358,22,Temperate,Inland
Sepia,2019,41.88394,-87.64247,Chicago,Chicago,60661,American,$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/sepia,1,Expensive,3,6,2010,Northern,Americas,True,5,1,1145.3618799457947,22,Temperate,Inland
North Pond,2019,41.9296,-87.63762,Chicago,Chicago,60614,Modern,$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/north-pond,1,Expensive,3,6,2010,Northern,Americas,True,10,2,1145.1473827204015,22,Temperate,Inland
Everest,2019,41.87597,-87.63212,Chicago,Chicago,60605,French,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/everest,1,Very Expensive,4,6,2010,Northern,Americas,True,7,1,1144.475184400977,22,Temperate,Inland
Topolobampo,2019,41.89047,-87.63085,Chicago,Chicago,60654,Mexican,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/topolobampo,1,Very Expensive,4,6,2010,Northern,Americas,True,11,1,1144.4259175234731,22,Temperate,Inland
Spiaggia,2019,41.90062,-87.62457,Chicago,Chicago,60611,Italian,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/spiaggia,1,Very Expensive,4,6,2010,Northern,Americas,True,8,1,1143.9469207468344,22,Temperate,Inland
Monte,2019,45.08279,13.631168,Rovinj,Croatia,52210,Creative,$$$$$,https://guide.michelin.com/hr/en/istria/rovinj/restaurant/monte,1,Luxury,5,6,2010,Northern,Europe,True,5,1,6789.121125735763,1,Temperate,Inland
Draga di Lovrana,2019,45.275867,14.251401,Lovran,Croatia,51415,Modern,$$$$$,https://guide.michelin.com/hr/en/primorje-gorski-kotar/lovran/restaurant/draga-di-lovrana,1,Luxury,5,6,2010,Northern,Europe,True,16,3,6820.352598427745,1,Temperate,Inland
Noel,2019,45.811054,15.988205,Zagreb,Croatia,10000,Modern,$$$$$,https://guide.michelin.com/hr/en/zagreb-region/zagreb/restaurant/noel,1,Luxury,5,6,2010,Northern,Europe,True,4,1,6906.437464898361,1,Temperate,Inland
Pelegrini,2019,43.73603,15.888903,Šibenik,Croatia,22000,Modern,$$$$$,https://guide.michelin.com/hr/en/sibenik-knin/sibenik/restaurant/pelegrini,1,Luxury,5,6,2010,Northern,Europe,True,9,1,7019.923863571748,1,Temperate,Inland
360º,2019,42.641563,18.111523,Dubrovnik,Croatia,20000,Modern,$$$$$,https://guide.michelin.com/hr/en/dubrovnik-neretva/dubrovnik/restaurant/360%C2%BA,1,Luxury,5,6,2010,Northern,Europe,True,4,1,7237.28308097759,1,Temperate,Inland
Field,2019,50.0919,14.42193,Praha,Czech Republic,110 00,Modern,$$$$$,https://guide.michelin.com/cz/en/prague/praha/restaurant/field,1,Luxury,5,6,2010,Northern,Europe,True,5,1,6570.5966687138725,2,Subarctic,Inland
La Degustation Bohême Bourgeoise,2019,50.09115,14.42511,Praha,Czech Republic,110 00,Modern,$$$$$,https://guide.michelin.com/cz/en/prague/praha/restaurant/la-degustation-boheme-bourgeoise,1,Luxury,5,6,2010,Northern,Europe,True,32,4,6570.836134936349,2,Subarctic,Inland
Gastromé,2019,56.15788,10.20937,Aarhus,Denmark,8000,Modern,$$$,https://guide.michelin.com/dk/en/central-denmark/aarhus/restaurant/gastrome,1,Expensive,3,6,2010,Northern,Europe,True,8,1,6031.901489560094,4,Subarctic,Near Coastal
